,id,smiles,MW,logP,TPSA,HA,h_acc,h_don,rings,MR,Rot_bonds,lipinski
64,LON-WEI-8f408cad-1,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,252.066555336,1.9907,49.410000000000004,17.0,2.0,1.0,2.0,67.37870000000002,3.0,0.0
65,LON-WEI-8f408cad-2,O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,338.030347396,1.0365000000000002,57.690000000000005,21.0,3.0,0.0,2.0,72.41680000000002,3.0,0.0
66,LON-WEI-8f408cad-3,O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1,308.00561195600005,0.8197999999999999,57.690000000000005,18.0,4.0,0.0,2.0,70.37780000000004,3.0,0.0
67,LON-WEI-8f408cad-4,O=C(CCl)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,320.039769208,0.8973999999999999,57.690000000000005,20.0,3.0,0.0,2.0,72.45880000000002,3.0,0.0
68,LON-WEI-8f408cad-5,O=C(CCl)N1CCN(Cc2cccs2)CC1,258.05936178,1.6311000000000002,23.550000000000004,16.0,3.0,0.0,2.0,66.89600000000003,3.0,0.0
69,LON-WEI-8f408cad-7,O=C(CCl)N1CCN(Cc2ccsc2)CC1,258.05936178,1.6311000000000002,23.550000000000004,16.0,3.0,0.0,2.0,66.89600000000003,3.0,0.0
70,JUA-UNI-a9dfaed1-1,C=CC(=O)NCC(=O)N(Cc1ccccc1O)C[C@@H]1CCCO1,318.157957184,1.2019999999999993,78.87,23.0,4.0,2.0,2.0,85.70450000000004,7.0,0.0
71,JUA-UNI-a9dfaed1-2,C=CC(=O)NCc1ccccc1S(=O)(=O)NC(C)(C)C,296.1194635,1.5655999999999999,75.27,20.0,3.0,2.0,1.0,78.56020000000004,5.0,0.0
72,JUA-UNI-a9dfaed1-3,C=CC(=O)NCc1ccccc1S(=O)(=O)NC,254.072513308,0.3969000000000001,75.27,17.0,3.0,2.0,1.0,64.73120000000003,5.0,0.0
73,JUA-UNI-a9dfaed1-4,C=CC(=O)NCC(=O)N(Cc1ccccc1)C[C@@]1(O)CN2CCC1CC2,357.205241724,0.7740999999999996,72.88,26.0,4.0,2.0,4.0,99.17950000000006,7.0,0.0
74,JUA-UNI-a9dfaed1-5,C=CC(=O)NCCC(=O)N(Cc1ccccc1)Cc1nc2ccccc2c(=O)[nH]1,390.16919056399996,2.144199999999999,95.16,29.0,4.0,2.0,3.0,110.88340000000004,8.0,0.0
75,JUA-UNI-a9dfaed1-6,C=CC(=O)N[C@H](Cc1ccccc1)C(=O)NCCN(C)C,289.179026976,0.5777000000000005,61.440000000000005,21.0,3.0,2.0,1.0,83.83740000000004,8.0,0.0
76,JUA-UNI-a9dfaed1-7,C=CC(=O)Nc1ccc(O)c(C(=O)NC[C@@H](O)c2ccc3ccccc3c2)c1,376.14230712,3.133300000000001,98.66000000000001,28.0,4.0,4.0,3.0,108.1745,6.0,0.0
77,LON-WEI-adc59df6-3,C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC)c1cccnc1,351.19467704000004,3.3854000000000015,62.300000000000004,26.0,3.0,1.0,2.0,103.86970000000004,5.0,0.0
78,LON-WEI-adc59df6-10,C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCCSC)c1cccnc1,425.21369823200007,4.508700000000004,62.300000000000004,30.0,4.0,1.0,2.0,125.81170000000004,9.0,0.0
79,LON-WEI-adc59df6-17,C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCSC)c1cccnc1,411.19804816800007,4.118600000000003,62.300000000000004,29.0,4.0,1.0,2.0,121.19470000000004,8.0,0.0
80,LON-WEI-adc59df6-23,C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCc1ccc(F)cc1)c1cccnc1,445.216555356,5.094900000000004,62.300000000000004,33.0,3.0,1.0,3.0,128.04970000000003,7.0,1.0
81,LON-WEI-adc59df6-30,C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCC)c1cccnc1,365.21032710400004,3.7755000000000027,62.300000000000004,27.0,3.0,1.0,2.0,108.48670000000004,6.0,0.0
82,LON-WEI-adc59df6-40,C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCc1ccccc1)c1cccnc1,427.22597716800004,4.955800000000004,62.300000000000004,32.0,3.0,1.0,3.0,128.0917,7.0,0.0
83,LON-WEI-adc59df6-43,C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)Nc1ccc2c(c1)OCO2)c1cccnc1,457.200156344,5.006800000000005,80.76,34.0,5.0,1.0,4.0,130.99769999999998,6.0,1.0
